CycID	BH.Q	ADJ.P	PER	LAG	AMP
BraR500.01G000100.v2.1	1	1	24	18	1.00762716319083
BraR500.01G000200.v2.1	1	1	24	22	0.215667568261897
BraR500.01G000300.v2.1	0.349586328083908	0.107911517054374	20	4	12.8834855532189
BraR500.01G000400.v2.1	0.2705898403163	0.0770115598687027	24	0	0.947523086789974
BraR500.01G000500.v2.1	1	1	0	0	0
BraR500.01G000600.v2.1	0.0358085827030722	0.00423576423576424	20	10	14.4461915396412
BraR500.01G000700.v2.1	0.157495384477682	0.0372798629941487	24	0	7.60493343166132
BraR500.01G000800.v2.1	1	1	20	16	2.64281159468472
BraR500.01G000900.v2.1	0.0893197588097282	0.0167284144427002	20	6	22.1571909884805
BraR500.01G001000.v2.1	1	1	0	0	0
BraR500.01G001100.v2.1	1	1	0	0	0
BraR500.01G001200.v2.1	0.349586328083908	0.107911517054374	20	16	0.669983675174254
BraR500.01G001300.v2.1	0.0180048305789096	0.00147110032824319	24	12	70.855635008798
BraR500.01G001400.v2.1	0.00381945964559081	0.000108462965605823	24	14	149.820017030853
BraR500.01G001500.v2.1	1	1	20	0	0.0707106781186548
BraR500.01G001600.v2.1	0.157495384477682	0.0372798629941487	20	4	1.20561706192306
BraR500.01G001700.v2.1	1	1	20	16	1.48138870658582
BraR500.01G001800.v2.1	1	1	24	0	1.14904851942814
BraR500.01G001900.v2.1	0.000839247283328916	7.42115027829314e-06	20	8	241.484036843018
BraR500.01G002000.v2.1	1	1	0	0	0
BraR500.01G002100.v2.1	0.654994143904443	0.236953617810761	20	16	0.081317279836453
BraR500.01G002200.v2.1	0.446545501388833	0.14889738832596	24	10	0.77428192539927
BraR500.01G002300.v2.1	0.157495384477682	0.0372798629941487	24	2	0.256326208180123
BraR500.01G002400.v2.1	1	1	24	22	4.37522320859177
BraR500.01G002500.v2.1	0.00381945964559081	0.000108462965605823	20	18	48.4403500451844
BraR500.01G002600.v2.1	1	1	0	0	0
BraR500.01G002700.v2.1	1	0.977521906664764	24	2	0.014142135623731
BraR500.01G002800.v2.1	1	1	0	0	0
BraR500.01G002900.v2.1	1	1	24	12	0.493206979877616
BraR500.01G003000.v2.1	1	0.606307977736549	20	6	6.16950666585263
BraR500.01G003100.v2.1	0.119113640015777	0.0252244897959184	20	4	12.0968292591489
BraR500.01G003200.v2.1	0.567557128440135	0.202439845868417	20	14	0.742462120245875
BraR500.01G003300.v2.1	0.00140967766636216	1.998001998002e-05	20	18	237.064619460602
BraR500.01G003400.v2.1	1	0.774095618667047	24	2	0.581595327525935
BraR500.01G003500.v2.1	0.349586328083908	0.107911517054374	24	22	0.434870670429727
